Months	ID	X	Y	Main consumed sp	Swallow seeds	Spitted seeds	Use	% Use TOT
Aug 18	420	814585	1605105	Afzellia	0	1	1	0.571
Aug 18	421	814648	1605487	Dialium coc.	1	1	1	0.571
Aug 18	422	815764	1605674	Dialium coc.	0	0	1	0.571
Aug 18	423	815798	1605573	Afzellia	0	0	1	0.571
Aug 18	424	815470	1605028	Dialium coc.	0	0	1	0.571
Aug 18	425	815365	1604940	Dialium coc.	0	0	1	0.571
Aug 18	426	815353	1604680	Vitex	1	1	1	0.571
Aug 18	427	815320	1604251	Dialium coc.	0	0	1	0.571
Aug 18	428	815896	1604084	Afzelia	0	1	1	0.571
Aug 18	429	816192	1603973	Memecylon	1	1	1	0.571
Aug 18	430	815798	1603990	Afzelia	0	1	1	0.571
Aug 18	431	815714	1603989	Dialium coc.-Vitex	1	1	1	0.571
Aug 18	432	815560	1603982	Dialium coc.	0	0	1	0.571
Aug 18	433	815368	1604004	Dialium coc.	0	0	1	0.571
Aug 18	434	814529	1603436	Afzelia-Dialium coc.	0	0	1	0.571
Aug 18	435	814460	1603404	Dialium coc.	0	0	1	0.571
Aug 18	436	814444	1603273	Afzelia	0	1	1	0.571
Aug 18	437	813547	1603841	Dialium coc.-Leucaena-Toddalia	1	0	1	0.571
Aug 18	438	813492	1603827	Leucaena	0	0	1	0.571
Aug 18	439	813360	1604281	Afzelia	0	0	1	0.571
Aug 18	440	813374	1604519	Afzelia	0	0	1	0.571
Aug 18	441	813083	1604930	Leucaena	0	0	1	0.571
Aug 18	442	813093	1605123	Leucaena	0	0	1	0.571
Aug 18	443	813073	1605287	Afzelia	0	0	1	0.571
Aug 18	444	812947	1605478	Afzelia-leucaena	0	0	1	0.571
Aug 18	445	813656	1605668	Dialium coc.	0	0	1	0.571
Aug 18	446	813638	1605787	Dialium coc.	0	0	1	0.571
Aug 18	447	813707	1605825	Dialium coc.	0	0	1	0.571
Aug 18	448	813753	1606147	Leucaena	0	0	1	0.571
Aug 18	449	814022	1606064	Afzelia	0	0	1	0.571
Aug 18	450	814114	1606282	Afzelia-Dialium coc.-Leucaena	0	0	1	0.571
Aug 18	451	814183	1606351	Afzelia-Leucaena	0	1	1	0.571
Aug 18	452	814183	1606422	Afzelia-Diospyros	1	1	1	0.571
Aug 18	453	814251	1606566	Afzelia-Vitex	1	1	1	0.571
Aug 18	454	814221	1606753	Afzelia	0	0	1	0.571
Aug 18	455	814434	1606809	Afzelia	0	0	1	0.571
Aug 18	456	814327	1606911	Afzelia	0	0	1	0.571
Aug 18	457	814189	1606767	Afzelia-Spondias	0	1	1	0.571
Aug 18	458	814233	1606832	Afzelia	0	0	1	0.571
Aug 18	459	814177	1606980	Afzelia	0	0	1	0.571
Aug 18	460	814234	1606971	Afzelia-Vitex	1	1	1	0.571
Aug 18	461	814829	1606874	Afzelia	0	1	1	0.571
Aug 18	462	814839	1606832	Afzelia-Vitex	1	1	1	0.571
Aug 18	463	814922	1606928	Afzelia	0	0	1	0.571
Aug 18	464	814932	1607110	Afzelia-Garaga	1	1	1	0.571
Aug 18	465	815294	1606965	Afzelia	0	0	1	0.571
Aug 18	466	815538	1606986	Afzelia	0	0	1	0.571
