Months	ID	X	Y	Main consumed sp	Swallow seeds	Spitted seeds	Use	% Use TOT
Mar 17	1	815014	1605465	NA	1	1	1	0.322
Mar 17	2	814233	1605235	NA	1	1	1	0.322
Mar 17	3	814624	1604426	NA	1	1	2	0.643
Mar 17	4	814659	1604476	NA	1	1	1	0.322
Mar 17	5	813892	1604261	NA	1	1	3	0.965
Mar 17	6	814145	1604482	NA	1	1	2	0.643
Mar 17	7	814145	1604482	NA	1	1	2	0.643
Mar 17	8	813786	1604129	NA	1	1	4	1.286
Mar 17	9	813786	1604129	NA	1	1	4	1.286
Mar 17	10	814304	1604094	NA	1	1	2	0.643
Apr 17	11	812961	1603348	NA	1	1	1	0.322
Mar 17	12	814304	1604096	NA	1	1	1	0.322
Mar 17	13	814914	1604380	NA	1	1	1	0.322
Mar 17	14	815635	1604705	NA	1	1	1	0.322
Mar 17	15	815720	1604714	NA	1	1	2	0.643
Apr 17	16	813994	1604192	NA	1	1	3	0.965
Apr 17	17	813994	1604192	NA	1	1	3	0.965
Apr 17	18	814001	1603904	NA	1	1	1	0.322
Apr 17	19	814000	1603837	NA	1	1	1	0.322
Apr 17	20	813055	1603385	NA	1	1	1	0.322
Apr 17	21	812961	1603348	NA	1	1	1	0.322
Apr 17	22	813977	1603280	NA	1	1	2	0.643
Apr 17	23	813977	1603280	NA	1	1	2	0.643
Apr 17	24	813994	1604370	NA	1	1	2	0.643
Apr 17	25	813977	1604446	NA	1	1	2	0.643
Apr 17	26	813836	1604215	NA	1	1	2	0.643
Apr 17	27	813994	1604192	NA	1	1	3	0.965
Apr 17	28	813786	1604129	NA	1	1	4	1.286
Apr 17	29	813786	1604129	NA	1	1	4	1.286
Apr 17	30	813882	1603208	NA	1	1	1	0.322
Apr 17	31	813874	1603120	NA	1	1	1	0.322
Apr 17	32	814802	1603997	NA	1	1	1	0.322
Apr 17	33	814826	1604057	NA	1	1	1	0.322
Apr 17	34	814307	1604026	NA	1	1	1	0.322
May 17	35	814227	1604547	Xerospermum	1	1	1	0.322
May 17	36	813970	1604548	Xerospermum	1	1	1	0.322
May 17	37	814064	1604478	Xerospermum	1	1	1	0.322
May 17	38	814277	1604851	NA	1	1	1	0.322
