Months	ID	X	Y	Main consumed sp	Swallow seeds	Spitted seeds	Use	% Use TOT	
Nov 17	202	815380	1605704	Dialium coc.	1	1	1	0.292	
Nov 17	203	814944	1605979	Dialium coc.	1	1	1	0.292	
Nov 17	204	814842	1606037	Dialium coc.	1	1	1	0.292	
Nov 17	205	814767	1606143	Acacia-Leucaena	0	0	1	0.292	
Nov 17	206	814720	1606071	Dialium coc.	1	1	2	0.583	
Nov 17	207	814462	1605869	Leucaena	0	0	1	0.292	
Nov 17	208	814374	1605773	Dialium-Leucaena	1	1	1	0.292	
Nov 17	209	814293	1605653	Afzelia	0	1	1	0.292	
Nov 17	210	814112	1605813	Leucaena	0	0	1	0.292	
Nov 17	211	813911	1605748	Afzellia	0	1	1	0.292	
Nov 17	212	813891	1605455	Unknow	0	1	1	0.292	
Nov 17	213	813735	1605533	Leucaena-Spondias	0	1	1	0.292	
Nov 17	214	813546	1605596	Acacia-Leucaena	0	0	2	0.583	
Nov 17	215	813342	1605997	Dialium coc.-Acacia	1	1	2	0.583	
Nov 17	216	813634	1605830	Dialium coc.	0	0	1	0.292	
Nov 17	217	813546	1605596	Acacia	0	0	2	0.583	
Nov 17	218	813344	1605536	Acacia	0	0	1	0.292	
Nov 17	219	813320	1605438	Acacia	0	0	4	1.166	
Nov 17	220	813343	1605355	Acacia-leucaena	0	0	1	0.292	
Nov 17	221	813257	1605416	Acacia	0	0	1	0.292	
Nov 17	222	813237	1605278	Acacia-leucaena	0	0	1	0.292	
Nov 17	223	813325	1605172	Acacia-Dialium coc.	0	0	1	0.292	
Nov 17	224	813771	1604696	Acacia-Leucaena-Micocros	1	1	2	0.583	
Nov 17	225	813915	1604752	Acacia-Dialium coc.	0	0	3	0.875	
Nov 17	226	813915	1604752	Acacia-Dialium coc.	0	0	3	0.875	
Nov 17	227	813771	1604696	Acacia-Leucaena-Micocros	1	1	2	0.583	
Nov 17	228	813838	1604631	Leucaena	0	0	2	0.583	
Nov 17	229	813970	1604548	Sapotaceae	1	1	2	0.583	
Nov 17	230	814035	1604399	Sapotaceae	1	1	1	0.292	
Nov 17	231	814384	1603723	Dialium coc.	1	1	1	0.292	
Nov 17	232	814430	1603526	Dialium coc.	1	1	3	0.875	
Nov 17	233	814399	1603482	Dialium coc.	1	1	3	0.875	
Nov 17	234	814430	1603526	Dialium coc.	1	1	3	0.875	
Nov 17	235	814399	1603482	Dialium coc.	1	1	3	0.875	
Nov 17	236	814651	1603702	Dialium coc.	1	1	1	0.292	
Nov 17	237	815093	1603938	Dialium coc.	1	1	1	0.292	
Nov 17	238	815201	1604013	Dialium coc.	1	1	1	0.292	
Nov 17	239	815266	1604065	Afzelia-Dialium coc.	1	1	4	1.166	
Nov 17	240	815278	1604008	Dialium coc.	1	1	3	0.875	
Nov 17	241	815388	1604060	Dialium coc.	1	1	1	0.292	
Nov 17	242	815957	1604198	Dialium coc.	1	1	1	0.292	
Nov 17	243	815941	1604564	Dialium coc.	0	0	2	0.583	
Dec 17	244	815379	1606130	Leucaena	0	0	1	0.292	
Dec 17	245	814720	1606071	Afzelia-Dialium coc.-Leucaena	1	1	2	0.583	
Dec 17	246	814696	1606137	Acacia-Leucaena	0	0	1	0.292	
Dec 17	247	814509	1606006	Afzelia-Acacia-Leucaena	0	1	1	0.292	
Dec 17	248	814322	1605802	Afzelia-Dialium coc.-Leucaena	1	1	1	0.292	
Dec 17	249	814180	1605688	Dialium coc.	0	0	1	0.292	
Dec 17	250	813841	1605611	Dialium coc.	0	0	1	0.292	
Dec 17	251	813523	1605539	Acacia	0	0	2	0.583	
Dec 17	252	813594	1605540	Acacia-Dialium coc.	1	1	2	0.583	
Dec 17	253	813523	1605539	Acacia	0	0	2	0.583	
Dec 17	254	813320	1605438	Acacia	0	0	4	1.166	
Dec 17	255	813911	1605033	Dialium coc.	0	0	1	0.292	
Dec 17	256	813912	1604928	Dialium coc.	1	1	2	0.583	
Dec 17	257	813840	1604754	Dialium coc.	0	0	1	0.292	
Dec 17	258	813838	1604631	Dialium coc.-Leucaena	0	0	2	0.583	
Dec 17	259	813927	1604504	Dialium coc.	0	0	1	0.292	
Dec 17	260	813970	1604548	Sapotaceae	1	1	2	0.583	
Dec 17	261	814212	1604378	Species no. 3	1	1	1	0.292	
Dec 17	262	814799	1603769	Dialium coc.	1	1	2	0.583	
Dec 17	263	814944	1603812	Dialium coc.	1	1	1	0.292	
Dec 17	264	815266	1604065	Dialium coc.	0	0	4	1.166	
Dec 17	265	815278	1604008	Dialium coc.	1	1	3	0.875	
Dec 17	266	815278	1604008	Dialium coc.	1	1	3	0.875	
Dec 17	267	815868	1604270	Dialium coc.	0	0	2	0.583	
Dec 17	268	815778	1604731	Dialium coc.	1	1	1	0.292	
Dec 17	269	815866	1604691	Dialium coc.	0	0	1	0.292	
Dec 17	270	815941	1604564	Dialium coc.	1	1	2	0.583	
Dec 17	271	815798	1604560	Dialium coc.	1	1	1	0.292	
Dec 17	272	816259	1604466	Dialium coc.	1	1	1	0.292	
Dec 17	273	816263	1604381	Dialium coc.	1	1	2	0.583	
Dec 17	274	816242	1604273	Dialium coc.	1	1	1	0.292	
Dec 17	275	816157	1604070	Dialium coc.	1	1	1	0.292	
Dec 17	276	816017	1604038	Dialium coc.	1	1	1	0.292	
Dec 17	277	815865	1604100	Dialium coc.	1	1	1	0.292	
Dec 17	278	815365	1604124	Dialium coc.	0	0	2	0.583	
