id;X;Y;order;hole;Month
1;814937;1604065;1;FALSE;April 17
2;814406;1603282;2;FALSE;April 17
3;814357;1603254;3;FALSE;April 17
4;813630;1602875;4;FALSE;April 17
5;813373;1602791;5;FALSE;April 17
6;813332;1602797;6;FALSE;April 17
7;812551;1603131;7;FALSE;April 17
8;812499;1603201;8;FALSE;April 17
9;812598;1603371;9;FALSE;April 17
10;813921;1604672;10;FALSE;April 17
11;814091;1604720;11;FALSE;April 17
12;814723;1604362;12;FALSE;April 17
13;814832;1604288;13;FALSE;April 17
14;814903;1604217;14;FALSE;April 17
15;814931;1604140;15;FALSE;April 17
16;814937;1604065;16;FALSE;April 17
