id;X;Y;order;hole;Month
1;815832;1606767;1;FALSE;August 18
2;815879;1606439;2;FALSE;August 18
3;815877;1606430;3;FALSE;August 18
4;815778;1606400;4;FALSE;August 18
5;815734;1606387;5;FALSE;August 18
6;815688;1606336;6;FALSE;August 18
7;815660;1606339;7;FALSE;August 18
8;815588;1606347;8;FALSE;August 18
9;815559;1606315;9;FALSE;August 18
10;815578;1606298;10;FALSE;August 18
11;815585;1606270;11;FALSE;August 18
12;815601;1606238;12;FALSE;August 18
13;815593;1606210;13;FALSE;August 18
14;815593;1606209;14;FALSE;August 18
15;815576;1606178;15;FALSE;August 18
16;815573;1606173;16;FALSE;August 18
17;815588;1606140;17;FALSE;August 18
18;815599;1606113;18;FALSE;August 18
19;815615;1606076;19;FALSE;August 18
20;815633;1606084;20;FALSE;August 18
21;815660;1606096;21;FALSE;August 18
22;815689;1606085;22;FALSE;August 18
23;815706;1606078;23;FALSE;August 18
24;815789;1606094;24;FALSE;August 18
25;815888;1605607;25;FALSE;August 18
26;815855;1605583;26;FALSE;August 18
27;815807;1605572;27;FALSE;August 18
28;815775;1605515;28;FALSE;August 18
29;815788;1605487;29;FALSE;August 18
30;815761;1605474;30;FALSE;August 18
31;815770;1605455;31;FALSE;August 18
32;815780;1605432;32;FALSE;August 18
33;815794;1605402;33;FALSE;August 18
34;815809;1605370;34;FALSE;August 18
35;815803;1605326;35;FALSE;August 18
36;815827;1605309;36;FALSE;August 18
37;815854;1605289;37;FALSE;August 18
38;815866;1605259;38;FALSE;August 18
39;815880;1605224;39;FALSE;August 18
40;815857;1605200;40;FALSE;August 18
41;815873;1605185;41;FALSE;August 18
42;815896;1605163;42;FALSE;August 18
43;815908;1605176;43;FALSE;August 18
44;815927;1605159;44;FALSE;August 18
45;815955;1605133;45;FALSE;August 18
46;816012;1605130;46;FALSE;August 18
47;816049;1605113;47;FALSE;August 18
48;816073;1605102;48;FALSE;August 18
49;816226;1604042;49;FALSE;August 18
50;816226;1604042;50;FALSE;August 18
51;816192;1603959;51;FALSE;August 18
52;816192;1603959;52;FALSE;August 18
53;816177;1603949;53;FALSE;August 18
54;815878;1603833;54;FALSE;August 18
55;815791;1603834;55;FALSE;August 18
56;815644;1603833;56;FALSE;August 18
57;815550;1603821;57;FALSE;August 18
58;815479;1603807;58;FALSE;August 18
59;815441;1603796;59;FALSE;August 18
60;815390;1603782;60;FALSE;August 18
61;815318;1603759;61;FALSE;August 18
62;815233;1603727;62;FALSE;August 18
63;815150;1603696;63;FALSE;August 18
64;815091;1603665;64;FALSE;August 18
65;814996;1603617;65;FALSE;August 18
66;814944;1603585;66;FALSE;August 18
67;814876;1603538;67;FALSE;August 18
68;814784;1603467;68;FALSE;August 18
69;814720;1603404;69;FALSE;August 18
70;814691;1603373;70;FALSE;August 18
71;814442;1603276;71;FALSE;August 18
72;814366;1603261;72;FALSE;August 18
73;814211;1603313;73;FALSE;August 18
74;813472;1603825;74;FALSE;August 18
75;813113;1604786;75;FALSE;August 18
76;812948;1605477;76;FALSE;August 18
77;814195;1607003;77;FALSE;August 18
78;814206;1607005;78;FALSE;August 18
79;814402;1607033;79;FALSE;August 18
80;814866;1607101;80;FALSE;August 18
81;814938;1607112;81;FALSE;August 18
82;814943;1607113;82;FALSE;August 18
83;814953;1607114;83;FALSE;August 18
84;815064;1607091;84;FALSE;August 18
85;815537;1606996;85;FALSE;August 18
86;815832;1606767;86;FALSE;August 18
