id;X;Y;order;hole;Month
1;816121;1604766;1;FALSE;December 17
2;816190;1604665;2;FALSE;December 17
3;816261;1604474;3;FALSE;December 17
4;816271;1604438;4;FALSE;December 17
5;816279;1604377;5;FALSE;December 17
6;816258;1604304;6;FALSE;December 17
7;816243;1604269;7;FALSE;December 17
8;816158;1604071;8;FALSE;December 17
9;816141;1604061;9;FALSE;December 17
10;816101;1604043;10;FALSE;December 17
11;814809;1603729;11;FALSE;December 17
12;814807;1603729;12;FALSE;December 17
13;813937;1604468;13;FALSE;December 17
14;813822;1604627;14;FALSE;December 17
15;813332;1605424;15;FALSE;December 17
16;813424;1605590;16;FALSE;December 17
17;814704;1606131;17;FALSE;December 17
18;815035;1606177;18;FALSE;December 17
19;815083;1606143;19;FALSE;December 17
20;816098;1604798;20;FALSE;December 17
21;816121;1604766;21;FALSE;December 17
