id;X;Y;order;hole;Month
1;816118;1604737;1;FALSE;February 18
2;816144;1604537;2;FALSE;February 18
3;816141;1604498;3;FALSE;February 18
4;816119;1604435;4;FALSE;February 18
5;816052;1604348;5;FALSE;February 18
6;815297;1603802;6;FALSE;February 18
7;815174;1603725;7;FALSE;February 18
8;814600;1603474;8;FALSE;February 18
9;814585;1603468;9;FALSE;February 18
10;814532;1603455;10;FALSE;February 18
11;814468;1603472;11;FALSE;February 18
12;813124;1604703;12;FALSE;February 18
13;813110;1604802;13;FALSE;February 18
14;813099;1604969;14;FALSE;February 18
15;813125;1605171;15;FALSE;February 18
16;813202;1605307;16;FALSE;February 18
17;813206;1605312;17;FALSE;February 18
18;813475;1605556;18;FALSE;February 18
19;813498;1605574;19;FALSE;February 18
20;813549;1605583;20;FALSE;February 18
21;814667;1605638;21;FALSE;February 18
22;815028;1605536;22;FALSE;February 18
23;815711;1605207;23;FALSE;February 18
24;815764;1605173;24;FALSE;February 18
25;815995;1604940;25;FALSE;February 18
26;816045;1604886;26;FALSE;February 18
27;816118;1604737;27;FALSE;February 18
