id;X;Y;order;hole;Month
1;815063;1605027;1;FALSE;January 18
2;816243;1604554;2;FALSE;January 18
3;816260;1604348;3;FALSE;January 18
4;816261;1604285;4;FALSE;January 18
5;815600;1603879;5;FALSE;January 18
6;814455;1603363;6;FALSE;January 18
7;814420;1603370;7;FALSE;January 18
8;813501;1603824;8;FALSE;January 18
9;812994;1604376;9;FALSE;January 18
10;812947;1604438;10;FALSE;January 18
11;812820;1604732;11;FALSE;January 18
12;812818;1604806;12;FALSE;January 18
13;812887;1605066;13;FALSE;January 18
14;812956;1605158;14;FALSE;January 18
15;813184;1605358;15;FALSE;January 18
16;813317;1605469;16;FALSE;January 18
17;813384;1605493;17;FALSE;January 18
18;813967;1605352;18;FALSE;January 18
19;815063;1605027;19;FALSE;January 18
