id;X;Y;order;hole;Month
1;816071;1604989;1;FALSE;July 17
2;816124;1604735;2;FALSE;July 17
3;816151;1604510;3;FALSE;July 17
4;816087;1604181;4;FALSE;July 17
5;816078;1604166;5;FALSE;July 17
6;816028;1604138;6;FALSE;July 17
7;815368;1604277;7;FALSE;July 17
8;815245;1604314;8;FALSE;July 17
9;814103;1604782;9;FALSE;July 17
10;813725;1605420;10;FALSE;July 17
11;813745;1605460;11;FALSE;July 17
12;814939;1606162;12;FALSE;July 17
13;815035;1606213;13;FALSE;July 17
14;815074;1606230;14;FALSE;July 17
15;815877;1605230;15;FALSE;July 17
16;815880;1605224;16;FALSE;July 17
17;815857;1605200;17;FALSE;July 17
18;815873;1605185;18;FALSE;July 17
19;815896;1605163;19;FALSE;July 17
20;815908;1605176;20;FALSE;July 17
21;815927;1605159;21;FALSE;July 17
22;815955;1605133;22;FALSE;July 17
23;815956;1605133;23;FALSE;July 17
24;816071;1604989;24;FALSE;July 17
