id;X;Y;order;hole;Month
1;815024;1604833;1;FALSE;June 17
2;814816;1603929;2;FALSE;June 17
3;814809;1603917;3;FALSE;June 17
4;814413;1603611;4;FALSE;June 17
5;814132;1603452;5;FALSE;June 17
6;814022;1603529;6;FALSE;June 17
7;813762;1604202;7;FALSE;June 17
8;813733;1604454;8;FALSE;June 17
9;813750;1604724;9;FALSE;June 17
10;813849;1604848;10;FALSE;June 17
11;813918;1604922;11;FALSE;June 17
12;814361;1605347;12;FALSE;June 17
13;814393;1605371;13;FALSE;June 17
14;814658;1605480;14;FALSE;June 17
15;814670;1605482;15;FALSE;June 17
16;814748;1605470;16;FALSE;June 17
17;814816;1605456;17;FALSE;June 17
18;815045;1604951;18;FALSE;June 17
19;815024;1604833;19;FALSE;June 17
