id;X;Y;order;hole;Month
1;815046;1605104;1;FALSE;March 18
2;815493;1604196;2;FALSE;March 18
3;815377;1603887;3;FALSE;March 18
4;815314;1603825;4;FALSE;March 18
5;814556;1603371;5;FALSE;March 18
6;814487;1603358;6;FALSE;March 18
7;812280;1605107;7;FALSE;March 18
8;812115;1605853;8;FALSE;March 18
9;812115;1605853;9;FALSE;March 18
10;812115;1605856;10;FALSE;March 18
11;812115;1605862;11;FALSE;March 18
12;812147;1606014;12;FALSE;March 18
13;812180;1606105;13;FALSE;March 18
14;813274;1606055;14;FALSE;March 18
15;813600;1605943;15;FALSE;March 18
16;815017;1605131;16;FALSE;March 18
17;815046;1605104;17;FALSE;March 18
