id;X;Y;order;hole;Month
1;815426;1605769;1;FALSE;Novemeber 17
2;816088;1604551;2;FALSE;Novemeber 17
3;816017;1604293;3;FALSE;Novemeber 17
4;815981;1604233;4;FALSE;Novemeber 17
5;815962;1604202;5;FALSE;Novemeber 17
6;815960;1604200;6;FALSE;Novemeber 17
7;815950;1604192;7;FALSE;Novemeber 17
8;815937;1604184;8;FALSE;Novemeber 17
9;814380;1603461;9;FALSE;Novemeber 17
10;813260;1605172;10;FALSE;Novemeber 17
11;813212;1605282;11;FALSE;Novemeber 17
12;813336;1606018;12;FALSE;Novemeber 17
13;813342;1606025;13;FALSE;Novemeber 17
14;813350;1606030;14;FALSE;Novemeber 17
15;814760;1606153;15;FALSE;Novemeber 17
16;814765;1606153;16;FALSE;Novemeber 17
17;815297;1605861;17;FALSE;Novemeber 17
18;815426;1605769;18;FALSE;Novemeber 17
