id;X;Y;order;hole;Month
1;815548;1606040;1;FALSE;October 18
2;815793;1605547;2;FALSE;October 18
3;815775;1605515;3;FALSE;October 18
4;815788;1605487;4;FALSE;October 18
5;815761;1605474;5;FALSE;October 18
6;815770;1605455;6;FALSE;October 18
7;815780;1605432;7;FALSE;October 18
8;815794;1605402;8;FALSE;October 18
9;815809;1605370;9;FALSE;October 18
10;815803;1605326;10;FALSE;October 18
11;815827;1605309;11;FALSE;October 18
12;815854;1605289;12;FALSE;October 18
13;815866;1605259;13;FALSE;October 18
14;815880;1605224;14;FALSE;October 18
15;815857;1605200;15;FALSE;October 18
16;815873;1605185;16;FALSE;October 18
17;815896;1605163;17;FALSE;October 18
18;815908;1605176;18;FALSE;October 18
19;815927;1605159;19;FALSE;October 18
20;815955;1605133;20;FALSE;October 18
21;816001;1605130;21;FALSE;October 18
22;816229;1604672;22;FALSE;October 18
23;816233;1604656;23;FALSE;October 18
24;816287;1604435;24;FALSE;October 18
25;816287;1604435;25;FALSE;October 18
26;816287;1604424;26;FALSE;October 18
27;816287;1604424;27;FALSE;October 18
28;816126;1604047;28;FALSE;October 18
29;816052;1603988;29;FALSE;October 18
30;815440;1603958;30;FALSE;October 18
31;815135;1605150;31;FALSE;October 18
32;815201;1605300;32;FALSE;October 18
33;815544;1606044;33;FALSE;October 18
34;815548;1606040;34;FALSE;October 18
