id;X;Y;order;hole;Month
1;816264;1604818;1;FALSE;September 18
2;816263;1604311;2;FALSE;September 18
3;816260;1604286;3;FALSE;September 18
4;816151;1603888;4;FALSE;September 18
5;816151;1603888;5;FALSE;September 18
6;815747;1603925;6;FALSE;September 18
7;815231;1604011;7;FALSE;September 18
8;815210;1604035;8;FALSE;September 18
9;815202;1604127;9;FALSE;September 18
10;815476;1605769;10;FALSE;September 18
11;815661;1606038;11;FALSE;September 18
12;815875;1605667;12;FALSE;September 18
13;815888;1605607;13;FALSE;September 18
14;815855;1605583;14;FALSE;September 18
15;815807;1605572;15;FALSE;September 18
16;815775;1605515;16;FALSE;September 18
17;815788;1605487;17;FALSE;September 18
18;815761;1605474;18;FALSE;September 18
19;815770;1605455;19;FALSE;September 18
20;815780;1605432;20;FALSE;September 18
21;815794;1605402;21;FALSE;September 18
22;815809;1605370;22;FALSE;September 18
23;815803;1605326;23;FALSE;September 18
24;815827;1605309;24;FALSE;September 18
25;815854;1605289;25;FALSE;September 18
26;815866;1605259;26;FALSE;September 18
27;815880;1605224;27;FALSE;September 18
28;815857;1605200;28;FALSE;September 18
29;815873;1605185;29;FALSE;September 18
30;815896;1605163;30;FALSE;September 18
31;815908;1605176;31;FALSE;September 18
32;815927;1605159;32;FALSE;September 18
33;815955;1605133;33;FALSE;September 18
34;816012;1605130;34;FALSE;September 18
35;816049;1605113;35;FALSE;September 18
36;816116;1605082;36;FALSE;September 18
37;816159;1605076;37;FALSE;September 18
38;816192;1605072;38;FALSE;September 18
39;816215;1605080;39;FALSE;September 18
40;816259;1605003;40;FALSE;September 18
41;816259;1605003;41;FALSE;September 18
42;816259;1605003;42;FALSE;September 18
43;816264;1604818;43;FALSE;September 18
