Month	ID	X	Y	Reuse %
Apr 17	11	814339	1604808	0.709
Apr 17	12	814005	1604182	1.418
Apr 17	13	814005	1603838	0.709
Apr 17	14	813057	1603320	0.709
Apr 17	15	813993	1603278	0.709
Apr 17	16	814026	1604414	1.418
Apr 17	17	813898	1604201	0.709
Apr 17	18	813789	1604122	1.418
Apr 17	19	813816	1603254	0.709
Apr 17	20	813870	1603140	0.709
Apr 17	21	814849	1603997	0.709
Apr 17	22	814298	1603901	1.418
May 17	23	814166	1604817	0.709
May 17	24	814270	1603829	0.709
May 17	25	814586	1604088	0.709
May 17	26	813738	1604044	0.709
May 17	27	814036	1604328	0.709
May 17	28	813937	1603603	0.709
May 17	29	813796	1603403	0.709
May 17	30	814287	1603985	1.418
May 17	31	814026	1604414	1.418
Jun 17	32	813818	1604203	1.418
Jun 17	33	813982	1604759	2.128
Jun 17	34	814211	1604015	0.709
Jun 17	35	814022	1603565	0.709
Jun 17	36	814021	1604878	0.709
Jun 17	37	814831	1605449	0.709
Jun 17	38	814609	1604239	0.709
Jun 17	39	814287	1603985	1.418
Jul 17	40	814579	1605279	0.709
Jul 17	41	814982	1606136	0.709
Jul 17	42	815538	1604776	0.709
Jul 17	43	815164	1604449	0.709
Jul 17	44	815790	1604383	0.709
Jul 17	45	816090	1604805	0.709
Jul 17	46	814675	1605599	0.709
Jul 17	47	813765	1605330	1.418
Nov 17	48	815426	1605776	0.709
Nov 17	49	814457	1605741	0.709
Nov 17	50	813899	1605455	0.709
Nov 17	51	813445	1605411	1.418
Nov 17	52	813982	1604759	2.128
Nov 17	53	814379	1603614	0.709
Nov 17	54	815008	1604160	0.709
Nov 17	55	815863	1604495	1.418
Dec 17	56	815130	1606125	0.709
Dec 17	57	813610	1605562	0.709
Dec 17	58	813908	1604602	0.709
Dec 17	59	815243	1604016	1.418
Dec 17	60	815712	1604561	1.418
Dec 17	61	815475	1604155	0.709
Dec 17	62	815055	1604845	0.709
Dec 17	63	816099	1604539	0.709
Jan 18	64	815054	1605048	0.709
Jan 18	65	814669	1603991	0.709
Jan 18	66	813122	1604302	0.709
Jan 18	67	813445	1605411	1.418
Jan 18	68	813982	1604759	2.128
Jan 18	69	813765	1605330	1.418
Jan 18	70	815096	1604016	0.709
Jan 18	71	816098	1604330	1.418
Feb 18	72	814026	1605161	0.709
Feb 18	73	813802	1604802	0.709
Feb 18	74	815368	1604144	0.709
Feb 18	75	814005	1604182	1.418
Feb 18	76	813660	1605321	0.709
Feb 18	77	815671	1605207	0.709
Feb 18	78	815592	1604159	0.709
Feb 18	79	814237	1603695	0.709
Mar 18	80	814861	1604218	0.709
Mar 18	81	814966	1605045	0.709
Mar 18	82	813294	1605323	0.709
Mar 18	83	812397	1605099	0.709
Mar 18	84	812176	1605975	0.709
Mar 18	85	813133	1606053	0.709
Mar 18	86	814215	1604383	0.709
Aug 18	87	814914	1605716	0.709
Aug 18	88	815248	1604212	0.709
Aug 18	89	814720	1603598	0.709
Aug 18	90	813083	1605077	0.709
Aug 18	91	813990	1606016	0.709
Aug 18	92	814297	1606780	0.709
Aug 18	93	814869	1607043	0.709
Aug 18	94	815528	1606040	1.418
Sep 18	95	815651	1605965	0.709
Sep 18	96	815814	1605096	0.709
Sep 18	97	816098	1604330	1.418
Sep 18	98	815733	1604146	0.709
Sep 18	99	815243	1604016	1.418
Sep 18	100	816192	1604765	0.709
Sep 18	101	815927	1604832	0.709
Sep 18	102	815925	1605093	0.709
Oct 18	103	815528	1606040	1.418
Oct 18	104	815441	1605099	0.709
Oct 18	105	815949	1604666	0.709
Oct 18	106	815469	1603977	0.709
Oct 18	107	815573	1604046	0.709
Oct 18	108	815622	1604621	0.709
Oct 18	109	815863	1604495	1.418
Oct 18	110	815952	1604007	0.709
				
