Idx	X	Y	Name	Swallow	Spitted
244	 815379	1606130	Leucaena                      	 F	 F
245	 814720	1606071	Afzelia-Dialium coc.-Leucaena 	 T	 T
246	 814696	1606137	Acacia-Leucaena               	 F	 F
247	 814509	1606006	Afzelia-Acacia-Leucaena       	 F	 T
248	 814322	1605802	Afzelia-Dialium coc.-Leucaena 	 T	 T
249	 814180	1605688	Dialium coc.                  	 F	 F
250	 813841	1605611	Dialium coc.                  	 F	 F
251	 813523	1605539	Acacia                        	 F	 F
252	 813594	1605540	Acacia-Dialium coc.           	 T	 T
253	 813523	1605539	Acacia                        	 F	 F
254	 813320	1605438	Acacia                        	 F	 F
255	 813911	1605033	Dialium coc.                  	 F	 F
256	 813912	1604928	Dialium coc.                  	 T	 T
257	 813840	1604754	Dialium coc.                  	 F	 F
258	 813838	1604631	Dialium coc.-Leucaena         	 F	 F
259	 813927	1604504	Dialium coc.                  	 F	 F
260	 813970	1604548	Sapotaceae                    	 T	 T
261	 814212	1604378	Species no. 3                 	 T	 T
262	 814799	1603769	Dialium coc.                  	 T	 T
263	 814944	1603812	Dialium coc.                  	 T	 T
264	 815266	1604065	Dialium coc.                  	 F	 F
265	 815278	1604008	Dialium coc.                  	 T	 T
266	 815278	1604008	Dialium coc.                  	 T	 T
267	 815868	1604270	Dialium coc.                  	 F	 F
268	 815778	1604731	Dialium coc.                  	 T	 T
269	 815866	1604691	Dialium coc.                  	 F	 F
270	 815941	1604564	Dialium coc.                  	 T	 T
271	 815798	1604560	Dialium coc.                  	 T	 T
272	 816259	1604466	Dialium coc.                  	 T	 T
273	 816263	1604381	Dialium coc.                  	 T	 T
274	 816242	1604273	Dialium coc.                  	 T	 T
275	 816157	1604070	Dialium coc.                  	 T	 T
276	 816017	1604038	Dialium coc.                  	 T	 T
277	 815865	1604100	Dialium coc.                  	 T	 T
278	 815365	1604124	Dialium coc.                  	 F	 F
279	 815438	1604096	Dialium coc.                  	 T	 T
280	 815572	1604110	Dialium coc.                  	 T	 T
281	 815588	1603944	Dialium coc.-Leucaena         	 T	 T
282	 815660	1604010	Dialium coc.                  	 T	 T
283	 815707	1604078	Dialium coc.                  	 T	 T
284	 815612	1604394	Dialium coc.                  	 T	 T
285	 815065	1604834	Dialium coc.                  	 F	 F
286	 815313	1604946	Dialium coc.                  	 F	 F
287	 815746	1605169	Dialium coc.                  	 T	 T
288	 816183	1604661	Dialium coc.                  	 T	 T
289	 816195	1604594	Dialium coc.                  	 T	 T
