run#	day	points nbr	morning	evening forseen	evening actual
1	1	46	06:16	17:55	17:46                                                                                                                                                                                                                                        
1	2	45	06:22	17:53	17:48                                                                                                                                                                                                                                        
1	3	42	06:19	17:51	17:39                                                                                                                                                                                                                                        
1	4	41	06:16	17:53	17:47                                                                                                                                                                                                                                        
1	5	43	06:17	17:52	17:37                                                                                                                                                                                                                                        
1	6	45	06:17	17:53	17:52                                                                                                                                                                                                                                        
1	7	46	06:17	17:54	17:47                                                                                                                                                                                                                                        
2	1	46	06:17	17:50	17:47                                                                                                                                                                                                                                        
2	2	42	06:15	17:49	17:35                                                                                                                                                                                                                                        
2	3	45	06:16	17:54	17:41                                                                                                                                                                                                                                        
2	4	43	06:19	17:54	17:44                                                                                                                                                                                                                                        
2	5	40	06:17	17:58	17:47                                                                                                                                                                                                                                        
2	6	43	06:14	17:51	17:48                                                                                                                                                                                                                                        
2	7	43	06:16	17:53	17:39                                                                                                                                                                                                                                        
3	1	46	06:16	17:47	17:46                                                                                                                                                                                                                                        
3	2	45	06:18	17:52	17:43                                                                                                                                                                                                                                        
3	3	45	06:18	17:52	17:45                                                                                                                                                                                                                                        
3	4	46	06:17	17:53	17:47                                                                                                                                                                                                                                        
3	5	44	06:13	17:52	17:59                                                                                                                                                                                                                                        
3	6	45	06:18	17:57	17:33                                                                                                                                                                                                                                        
3	7	42	06:17	17:54	17:39                                                                                                                                                                                                                                        
4	1	44	06:17	17:57	17:45                                                                                                                                                                                                                                        
4	2	46	06:11	17:52	17:41                                                                                                                                                                                                                                        
4	3	46	06:16	17:52	17:46                                                                                                                                                                                                                                        
4	4	46	06:20	17:52	17:50                                                                                                                                                                                                                                        
4	5	46	06:20	17:52	17:50                                                                                                                                                                                                                                        
4	6	46	06:12	17:51	17:42                                                                                                                                                                                                                                        
4	7	44	06:22	17:48	17:42                                                                                                                                                                                                                                        
5	1	43	06:11	17:53	17:46                                                                                                                                                                                                                                        
5	2	45	06:16	17:55	17:51                                                                                                                                                                                                                                        
5	3	45	06:23	17:52	17:38                                                                                                                                                                                                                                        
5	4	45	06:21	17:53	17:48                                                                                                                                                                                                                                        
5	5	46	06:15	17:55	17:46                                                                                                                                                                                                                                        
5	6	42	06:16	17:50	17:48                                                                                                                                                                                                                                        
5	7	42	06:18	17:47	17:33                                                                                                                                                                                                                                        
6	1	44	06:14	17:56	17:43                                                                                                                                                                                                                                        
6	2	43	06:19	17:50	17:34                                                                                                                                                                                                                                        
6	3	46	06:12	17:52	17:42                                                                                                                                                                                                                                        
6	4	46	06:18	17:51	17:48                                                                                                                                                                                                                                        
6	5	44	06:15	17:54	17:51                                                                                                                                                                                                                                        
6	6	39	06:24	17:53	17:41                                                                                                                                                                                                                                        
6	7	45	06:22	17:50	17:44                                                                                                                                                                                                                                        
7	1	43	06:20	17:49	17:44                                                                                                                                                                                                                                        
7	2	46	06:16	17:50	17:46                                                                                                                                                                                                                                        
7	3	46	06:17	17:50	17:49                                                                                                                                                                                                                                        
7	4	46	06:16	17:51	17:46                                                                                                                                                                                                                                        
7	5	46	06:14	17:49	17:44                                                                                                                                                                                                                                        
7	6	45	06:19	17:53	17:44                                                                                                                                                                                                                                        
7	7	42	06:18	17:49	17:48                                                                                                                                                                                                                                        
8	1	46	06:16	17:50	17:46                                                                                                                                                                                                                                        
8	2	46	06:18	17:55	17:48                                                                                                                                                                                                                                        
8	3	46	06:16	17:53	17:46                                                                                                                                                                                                                                        
8	4	46	06:15	17:49	17:45                                                                                                                                                                                                                                        
8	5	41	06:18	17:50	17:43                                                                                                                                                                                                                                        
8	6	46	06:16	17:54	17:53                                                                                                                                                                                                                                        
8	7	46	06:17	17:51	17:47                                                                                                                                                                                                                                        
9	1	46	06:16	17:53	17:46                                                                                                                                                                                                                                        
9	2	46	06:20	17:52	17:50                                                                                                                                                                                                                                        
9	3	46	06:18	17:54	17:48                                                                                                                                                                                                                                        
9	4	46	06:12	17:53	17:45                                                                                                                                                                                                                                        
9	5	44	06:15	17:49	17:47                                                                                                                                                                                                                                        
9	6	41	06:19	17:49	17:44                                                                                                                                                                                                                                        
9	7	45	06:17	17:51	17:46                                                                                                                                                                                                                                        
10	1	42	06:14	17:53	17:43                                                                                                                                                                                                                                       
10	2	46	06:09	17:54	17:39                                                                                                                                                                                                                                       
10	3	44	06:13	17:50	17:43                                                                                                                                                                                                                                       
10	4	45	06:22	17:49	17:37                                                                                                                                                                                                                                       
10	5	46	06:21	17:53	17:51                                                                                                                                                                                                                                       
10	6	44	06:16	17:52	17:37                                                                                                                                                                                                                                       
10	7	46	06:12	17:54	17:42                                                                                                                                                                                                                                       
11	1	46	06:18	17:51	17:48                                                                                                                                                                                                                                       
11	2	46	06:11	17:50	17:41                                                                                                                                                                                                                                       
11	3	44	06:22	17:50	17:36                                                                                                                                                                                                                                       
11	4	46	06:18	17:50	17:48                                                                                                                                                                                                                                       
11	5	45	06:16	17:52	17:45                                                                                                                                                                                                                                       
11	6	45	06:17	17:50	17:46                                                                                                                                                                                                                                       
11	7	45	06:18	17:52	17:46                                                                                                                                                                                                                                       
12	1	46	06:13	17:53	17:43                                                                                                                                                                                                                                       
12	2	46	06:18	17:51	17:48                                                                                                                                                                                                                                       
12	3	46	06:17	17:51	17:47                                                                                                                                                                                                                                       
12	4	46	06:18	17:53	17:48                                                                                                                                                                                                                                       
12	5	44	06:17	17:54	17:40                                                                                                                                                                                                                                       
12	6	44	06:13	17:53	17:46                                                                                                                                                                                                                                       
12	7	46	06:14	17:53	17:45                                                                                                                                                                                                                                       
13	1	45	06:16	17:52	17:41                                                                                                                                                                                                                                       
13	2	46	06:17	17:53	17:47                                                                                                                                                                                                                                       
13	3	46	06:14	17:53	17:50                                                                                                                                                                                                                                       
13	4	41	06:17	17:55	17:42                                                                                                                                                                                                                                       
13	5	46	06:20	17:52	17:50                                                                                                                                                                                                                                       
13	6	42	06:17	17:52	17:38                                                                                                                                                                                                                                       
13	7	42	06:17	17:50	17:37                                                                                                                                                                                                                                       
14	1	46	06:19	17:53	17:49                                                                                                                                                                                                                                       
14	2	43	06:22	17:52	17:57                                                                                                                                                                                                                                       
